arm,omega,band_k,period_drive_steps,tau_drive_steps,samples_per_period,aliased,seed,n,ipc
B-drive,0.2585,12,24.3063,12.8949,2.0255,0,20260831,350,5.41
A-readout,0.2585,16,24.3063,12.8949,1.5191,1,20260831,350,1.243
B-drive,0.2585,16,24.3063,12.8949,1.5191,1,20260831,350,4.307
A-readout,0.3338,1,18.8232,9.986,18.8232,0,20260831,350,3.169
B-drive,0.3338,1,18.8232,9.986,18.8232,0,20260831,350,3.169
A-readout,0.3338,2,18.8232,9.986,9.4116,0,20260831,350,2.141
B-drive,0.3338,2,18.8232,9.986,9.4116,0,20260831,350,4.376
A-readout,0.3338,3,18.8232,9.986,6.2744,0,20260831,350,2.688
B-drive,0.3338,3,18.8232,9.986,6.2744,0,20260831,350,3.954
A-readout,0.3338,4,18.8232,9.986,4.7058,0,20260831,350,1.351
B-drive,0.3338,4,18.8232,9.986,4.7058,0,20260831,350,5.111
A-readout,0.3338,6,18.8232,9.986,3.1372,0,20260831,350,1.677
B-drive,0.3338,6,18.8232,9.986,3.1372,0,20260831,350,5.752
A-readout,0.3338,8,18.8232,9.986,2.3529,0,20260831,350,1.09
B-drive,0.3338,8,18.8232,9.986,2.3529,0,20260831,350,5.597
A-readout,0.3338,12,18.8232,9.986,1.5686,1,20260831,350,0.776
B-drive,0.3338,12,18.8232,9.986,1.5686,1,20260831,350,4.46
A-readout,0.3338,16,18.8232,9.986,1.1765,1,20260831,350,1.103
B-drive,0.3338,16,18.8232,9.986,1.1765,1,20260831,350,3.953
A-readout,0.4311,1,14.5748,7.7322,14.5748,0,20260831,350,3.726
B-drive,0.4311,1,14.5748,7.7322,14.5748,0,20260831,350,3.726
A-readout,0.4311,2,14.5748,7.7322,7.2874,0,20260831,350,2.361
B-drive,0.4311,2,14.5748,7.7322,7.2874,0,20260831,350,3.95
A-readout,0.4311,3,14.5748,7.7322,4.8583,0,20260831,350,2.562
B-drive,0.4311,3,14.5748,7.7322,4.8583,0,20260831,350,4.993
A-readout,0.4311,4,14.5748,7.7322,3.6437,0,20260831,350,1.439
B-drive,0.4311,4,14.5748,7.7322,3.6437,0,20260831,350,5.804
A-readout,0.4311,6,14.5748,7.7322,2.4291,0,20260831,350,1.765
B-drive,0.4311,6,14.5748,7.7322,2.4291,0,20260831,350,5.722
A-readout,0.4311,8,14.5748,7.7322,1.8218,1,20260831,350,1.13
B-drive,0.4311,8,14.5748,7.7322,1.8218,1,20260831,350,5.002
A-readout,0.4311,12,14.5748,7.7322,1.2146,1,20260831,350,1.052
B-drive,0.4311,12,14.5748,7.7322,1.2146,1,20260831,350,3.95
A-readout,0.4311,16,14.5748,7.7322,0.9109,1,20260831,350,1.049
B-drive,0.4311,16,14.5748,7.7322,0.9109,1,20260831,350,3.087
A-readout,0.5567,1,11.2865,5.9877,11.2865,0,20260831,350,4.035
B-drive,0.5567,1,11.2865,5.9877,11.2865,0,20260831,350,4.035
A-readout,0.5567,2,11.2865,5.9877,5.6432,0,20260831,350,2.629
B-drive,0.5567,2,11.2865,5.9877,5.6432,0,20260831,350,4.221
A-readout,0.5567,3,11.2865,5.9877,3.7622,0,20260831,350,2.554
B-drive,0.5567,3,11.2865,5.9877,3.7622,0,20260831,350,5.803
A-readout,0.5567,4,11.2865,5.9877,2.8216,0,20260831,350,1.696
B-drive,0.5567,4,11.2865,5.9877,2.8216,0,20260831,350,5.872
A-readout,0.5567,6,11.2865,5.9877,1.8811,1,20260831,350,1.525
B-drive,0.5567,6,11.2865,5.9877,1.8811,1,20260831,350,5.151
A-readout,0.5567,8,11.2865,5.9877,1.4108,1,20260831,350,1.136
B-drive,0.5567,8,11.2865,5.9877,1.4108,1,20260831,350,4.184
A-readout,0.5567,12,11.2865,5.9877,0.9405,1,20260831,350,1.023
B-drive,0.5567,12,11.2865,5.9877,0.9405,1,20260831,350,3.156
A-readout,0.5567,16,11.2865,5.9877,0.7054,1,20260831,350,1.028
B-drive,0.5567,16,11.2865,5.9877,0.7054,1,20260831,350,2.501
A-readout,0.719,1,8.7388,4.6361,8.7388,0,20260831,350,4.268
B-drive,0.719,1,8.7388,4.6361,8.7388,0,20260831,350,4.268
A-readout,0.719,2,8.7388,4.6361,4.3694,0,20260831,350,3.026
B-drive,0.719,2,8.7388,4.6361,4.3694,0,20260831,350,5.576
A-readout,0.719,3,8.7388,4.6361,2.9129,0,20260831,350,2.378
B-drive,0.719,3,8.7388,4.6361,2.9129,0,20260831,350,5.85
A-readout,0.719,4,8.7388,4.6361,2.1847,0,20260831,350,1.889
B-drive,0.719,4,8.7388,4.6361,2.1847,0,20260831,350,5.533
A-readout,0.719,6,8.7388,4.6361,1.4565,1,20260831,350,1.332
B-drive,0.719,6,8.7388,4.6361,1.4565,1,20260831,350,4.139
A-readout,0.719,8,8.7388,4.6361,1.0923,1,20260831,350,1.25
B-drive,0.719,8,8.7388,4.6361,1.0923,1,20260831,350,3.541
A-readout,0.719,12,8.7388,4.6361,0.7282,1,20260831,350,0.956
B-drive,0.719,12,8.7388,4.6361,0.7282,1,20260831,350,2.582
A-readout,0.719,16,8.7388,4.6361,0.5462,1,20260831,350,0.942
B-drive,0.719,16,8.7388,4.6361,0.5462,1,20260831,350,1.796
A-readout,0.9285,1,6.767,3.59,6.767,0,20260831,350,3.954
B-drive,0.9285,1,6.767,3.59,6.767,0,20260831,350,3.954
A-readout,0.9285,2,6.767,3.59,3.3835,0,20260831,350,3.018
B-drive,0.9285,2,6.767,3.59,3.3835,0,20260831,350,5.64
A-readout,0.9285,3,6.767,3.59,2.2557,0,20260831,350,2.496
B-drive,0.9285,3,6.767,3.59,2.2557,0,20260831,350,5.523
A-readout,0.9285,4,6.767,3.59,1.6918,1,20260831,350,1.908
B-drive,0.9285,4,6.767,3.59,1.6918,1,20260831,350,4.602
A-readout,0.9285,6,6.767,3.59,1.1278,1,20260831,350,1.063
B-drive,0.9285,6,6.767,3.59,1.1278,1,20260831,350,3.742
A-readout,0.9285,8,6.767,3.59,0.8459,1,20260831,350,1.287
B-drive,0.9285,8,6.767,3.59,0.8459,1,20260831,350,2.871
A-readout,0.9285,12,6.767,3.59,0.5639,1,20260831,350,1.041
B-drive,0.9285,12,6.767,3.59,0.5639,1,20260831,350,1.751
A-readout,0.9285,16,6.767,3.59,0.4229,1,20260831,350,0.677
B-drive,0.9285,16,6.767,3.59,0.4229,1,20260831,350,1.623
A-readout,1.1992,1,5.2395,2.7796,5.2395,0,20260831,350,5.026
B-drive,1.1992,1,5.2395,2.7796,5.2395,0,20260831,350,5.026
A-readout,1.1992,2,5.2395,2.7796,2.6197,0,20260831,350,3.42
B-drive,1.1992,2,5.2395,2.7796,2.6197,0,20260831,350,5.789
A-readout,1.1992,3,5.2395,2.7796,1.7465,1,20260831,350,2.371
B-drive,1.1992,3,5.2395,2.7796,1.7465,1,20260831,350,4.603
A-readout,1.1992,4,5.2395,2.7796,1.3099,1,20260831,350,1.735
B-drive,1.1992,4,5.2395,2.7796,1.3099,1,20260831,350,3.888
A-readout,1.1992,6,5.2395,2.7796,0.8732,1,20260831,350,0.917
B-drive,1.1992,6,5.2395,2.7796,0.8732,1,20260831,350,2.866
A-readout,1.1992,8,5.2395,2.7796,0.6549,1,20260831,350,1.145
B-drive,1.1992,8,5.2395,2.7796,0.6549,1,20260831,350,2.219
A-readout,1.1992,12,5.2395,2.7796,0.4366,1,20260831,350,1.086
B-drive,1.1992,12,5.2395,2.7796,0.4366,1,20260831,350,1.653
A-readout,1.1992,16,5.2395,2.7796,0.3275,1,20260831,350,0.785
B-drive,1.1992,16,5.2395,2.7796,0.3275,1,20260831,350,1.482
A-readout,1.5486,1,4.0573,2.1525,4.0573,0,20260831,350,5.719
B-drive,1.5486,1,4.0573,2.1525,4.0573,0,20260831,350,5.719
A-readout,1.5486,2,4.0573,2.1525,2.0287,0,20260831,350,3.333
B-drive,1.5486,2,4.0573,2.1525,2.0287,0,20260831,350,5.137
A-readout,1.5486,3,4.0573,2.1525,1.3524,1,20260831,350,2.224
B-drive,1.5486,3,4.0573,2.1525,1.3524,1,20260831,350,3.923
A-readout,1.5486,4,4.0573,2.1525,1.0143,1,20260831,350,1.96
