family,substrate,tau_drive_steps,arm,band_k,seed,n,ipc
esn,esn-mid (leak 0.3),2.8,A-readout,2,20260835,350,1.976
esn,esn-mid (leak 0.3),2.8,B-drive,2,20260835,350,2.772
esn,esn-mid (leak 0.3),2.8,A-readout,4,20260835,350,1.456
esn,esn-mid (leak 0.3),2.8,B-drive,4,20260835,350,3.624
esn,esn-mid (leak 0.3),2.8,A-readout,8,20260835,350,1.254
esn,esn-mid (leak 0.3),2.8,B-drive,8,20260835,350,3.191
esn,esn-slow (leak 0.1),9.5,A-readout,1,20260835,350,1.116
esn,esn-slow (leak 0.1),9.5,B-drive,1,20260835,350,1.116
esn,esn-slow (leak 0.1),9.5,A-readout,2,20260835,350,1.455
esn,esn-slow (leak 0.1),9.5,B-drive,2,20260835,350,1.415
esn,esn-slow (leak 0.1),9.5,A-readout,4,20260835,350,1.017
esn,esn-slow (leak 0.1),9.5,B-drive,4,20260835,350,1.97
esn,esn-slow (leak 0.1),9.5,A-readout,8,20260835,350,1.366
esn,esn-slow (leak 0.1),9.5,B-drive,8,20260835,350,2.858
mass-spring,spring-fast (omega 2.0),1.67,A-readout,1,20260835,350,6.089
mass-spring,spring-fast (omega 2.0),1.67,B-drive,1,20260835,350,6.089
mass-spring,spring-fast (omega 2.0),1.67,A-readout,2,20260835,350,3.146
mass-spring,spring-fast (omega 2.0),1.67,B-drive,2,20260835,350,3.526
mass-spring,spring-fast (omega 2.0),1.67,A-readout,4,20260835,350,2.137
mass-spring,spring-fast (omega 2.0),1.67,B-drive,4,20260835,350,2.423
mass-spring,spring-fast (omega 2.0),1.67,A-readout,8,20260835,350,1.052
mass-spring,spring-fast (omega 2.0),1.67,B-drive,8,20260835,350,1.49
mass-spring,spring-mid (omega 0.6),5.56,A-readout,1,20260835,350,2.764
mass-spring,spring-mid (omega 0.6),5.56,B-drive,1,20260835,350,2.764
mass-spring,spring-mid (omega 0.6),5.56,A-readout,2,20260835,350,2.736
mass-spring,spring-mid (omega 0.6),5.56,B-drive,2,20260835,350,5.437
mass-spring,spring-mid (omega 0.6),5.56,A-readout,4,20260835,350,2.514
mass-spring,spring-mid (omega 0.6),5.56,B-drive,4,20260835,350,5.486
mass-spring,spring-mid (omega 0.6),5.56,A-readout,8,20260835,350,1.013
mass-spring,spring-mid (omega 0.6),5.56,B-drive,8,20260835,350,3.593
mass-spring,spring-slow (omega 0.2),16.67,A-readout,1,20260835,350,1.67
mass-spring,spring-slow (omega 0.2),16.67,B-drive,1,20260835,350,1.67
mass-spring,spring-slow (omega 0.2),16.67,A-readout,2,20260835,350,1.727
mass-spring,spring-slow (omega 0.2),16.67,B-drive,2,20260835,350,1.709
mass-spring,spring-slow (omega 0.2),16.67,A-readout,4,20260835,350,1.775
mass-spring,spring-slow (omega 0.2),16.67,B-drive,4,20260835,350,3.731
mass-spring,spring-slow (omega 0.2),16.67,A-readout,8,20260835,350,1.569
mass-spring,spring-slow (omega 0.2),16.67,B-drive,8,20260835,350,6.211
esn,esn-fast (leak 1.0),1.0,A-readout,1,20260836,350,7.97
esn,esn-fast (leak 1.0),1.0,B-drive,1,20260836,350,7.97
esn,esn-fast (leak 1.0),1.0,A-readout,2,20260836,350,5.336
esn,esn-fast (leak 1.0),1.0,B-drive,2,20260836,350,6.461
