substrate,arm,band_k,seed,n,m_streams,ipc,mc,kr,gr
esn-fast (leak 1.0),A-readout,4,20260837,350,60,2.528,1.0,55.0,12.0
esn-fast (leak 1.0),B-drive,4,20260837,350,60,3.2,1.593,25.0,9.0
esn-fast (leak 1.0),A-readout,8,20260837,350,60,1.547,0.259,54.0,13.0
esn-fast (leak 1.0),B-drive,8,20260837,350,60,1.833,0.752,14.0,8.0
esn-mid (leak 0.3),A-readout,1,20260837,350,60,2.65,1.879,27.0,9.0
esn-mid (leak 0.3),B-drive,1,20260837,350,60,2.65,1.879,27.0,9.0
esn-mid (leak 0.3),A-readout,2,20260837,350,60,2.334,1.265,28.0,8.0
esn-mid (leak 0.3),B-drive,2,20260837,350,60,3.465,2.556,28.0,9.0
esn-mid (leak 0.3),A-readout,4,20260837,350,60,0.875,0.565,29.0,8.0
esn-mid (leak 0.3),B-drive,4,20260837,350,60,3.984,3.057,26.0,7.0
esn-mid (leak 0.3),A-readout,8,20260837,350,60,0.841,0.192,27.0,13.0
esn-mid (leak 0.3),B-drive,8,20260837,350,60,3.477,2.188,19.0,7.0
esn-slow (leak 0.1),A-readout,1,20260837,350,60,1.764,1.026,20.0,9.0
esn-slow (leak 0.1),B-drive,1,20260837,350,60,1.764,1.026,20.0,9.0
esn-slow (leak 0.1),A-readout,2,20260837,350,60,1.611,0.553,20.0,8.0
esn-slow (leak 0.1),B-drive,2,20260837,350,60,2.126,1.378,22.0,8.0
esn-slow (leak 0.1),A-readout,4,20260837,350,60,1.376,0.517,20.0,9.0
esn-slow (leak 0.1),B-drive,4,20260837,350,60,2.653,1.928,24.0,9.0
esn-slow (leak 0.1),A-readout,8,20260837,350,60,0.565,0.079,21.0,15.0
esn-slow (leak 0.1),B-drive,8,20260837,350,60,3.364,2.458,26.0,8.0
esn-fast (leak 1.0),A-readout,1,20260838,350,60,8.006,5.513,57.0,15.0
esn-fast (leak 1.0),B-drive,1,20260838,350,60,8.006,5.513,57.0,15.0
esn-fast (leak 1.0),A-readout,2,20260838,350,60,4.93,2.691,57.0,16.0
esn-fast (leak 1.0),B-drive,2,20260838,350,60,6.1,3.589,51.0,11.0
esn-fast (leak 1.0),A-readout,4,20260838,350,60,2.483,1.364,57.0,14.0
esn-fast (leak 1.0),B-drive,4,20260838,350,60,3.433,1.707,36.0,6.0
esn-fast (leak 1.0),A-readout,8,20260838,350,60,1.562,0.347,57.0,16.0
esn-fast (leak 1.0),B-drive,8,20260838,350,60,1.825,0.69,19.0,5.0
esn-mid (leak 0.3),A-readout,1,20260838,350,60,2.593,1.697,35.0,10.0
esn-mid (leak 0.3),B-drive,1,20260838,350,60,2.593,1.697,35.0,10.0
esn-mid (leak 0.3),A-readout,2,20260838,350,60,1.062,0.378,37.0,12.0
esn-mid (leak 0.3),B-drive,2,20260838,350,60,3.657,2.16,37.0,9.0
esn-mid (leak 0.3),A-readout,4,20260838,350,60,1.413,0.739,34.0,13.0
esn-mid (leak 0.3),B-drive,4,20260838,350,60,4.476,2.877,35.0,8.0
