substrate,arm,band_k,max_delay,basis_terms,samples_per_term,feasible,seed,n,ipc
esn-fast (leak 1.0),B-drive,8,32,560,0.625,0,20260831,350,10.71
esn-mid (leak 0.3),A-readout,1,2,5,70.0,1,20260831,350,0.763
esn-mid (leak 0.3),A-readout,1,4,14,25.0,1,20260831,350,1.577
esn-mid (leak 0.3),A-readout,1,8,44,7.955,1,20260831,350,2.916
esn-mid (leak 0.3),A-readout,1,16,152,2.303,1,20260831,350,6.066
esn-mid (leak 0.3),A-readout,1,32,560,0.625,0,20260831,350,13.302
esn-mid (leak 0.3),B-drive,1,2,5,70.0,1,20260831,350,0.763
esn-mid (leak 0.3),B-drive,1,4,14,25.0,1,20260831,350,1.577
esn-mid (leak 0.3),B-drive,1,8,44,7.955,1,20260831,350,2.916
esn-mid (leak 0.3),B-drive,1,16,152,2.303,1,20260831,350,6.066
esn-mid (leak 0.3),B-drive,1,32,560,0.625,0,20260831,350,13.302
esn-mid (leak 0.3),A-readout,2,2,5,70.0,1,20260831,350,0.806
esn-mid (leak 0.3),A-readout,2,4,14,25.0,1,20260831,350,1.341
esn-mid (leak 0.3),A-readout,2,8,44,7.955,1,20260831,350,1.981
esn-mid (leak 0.3),A-readout,2,16,152,2.303,1,20260831,350,4.206
esn-mid (leak 0.3),A-readout,2,32,560,0.625,0,20260831,350,12.697
esn-mid (leak 0.3),B-drive,2,2,5,70.0,1,20260831,350,1.222
esn-mid (leak 0.3),B-drive,2,4,14,25.0,1,20260831,350,1.992
esn-mid (leak 0.3),B-drive,2,8,44,7.955,1,20260831,350,3.491
esn-mid (leak 0.3),B-drive,2,16,152,2.303,1,20260831,350,6.382
esn-mid (leak 0.3),B-drive,2,32,560,0.625,0,20260831,350,13.307
esn-mid (leak 0.3),A-readout,4,2,5,70.0,1,20260831,350,0.208
esn-mid (leak 0.3),A-readout,4,4,14,25.0,1,20260831,350,0.414
esn-mid (leak 0.3),A-readout,4,8,44,7.955,1,20260831,350,1.17
esn-mid (leak 0.3),A-readout,4,16,152,2.303,1,20260831,350,2.907
esn-mid (leak 0.3),A-readout,4,32,560,0.625,0,20260831,350,9.534
esn-mid (leak 0.3),B-drive,4,2,5,70.0,1,20260831,350,1.789
esn-mid (leak 0.3),B-drive,4,4,14,25.0,1,20260831,350,2.7
esn-mid (leak 0.3),B-drive,4,8,44,7.955,1,20260831,350,4.326
esn-mid (leak 0.3),B-drive,4,16,152,2.303,1,20260831,350,6.3
esn-mid (leak 0.3),B-drive,4,32,560,0.625,0,20260831,350,12.338
esn-mid (leak 0.3),A-readout,8,2,5,70.0,1,20260831,350,0.333
esn-mid (leak 0.3),A-readout,8,4,14,25.0,1,20260831,350,0.523
esn-mid (leak 0.3),A-readout,8,8,44,7.955,1,20260831,350,1.05
esn-mid (leak 0.3),A-readout,8,16,152,2.303,1,20260831,350,2.985
esn-mid (leak 0.3),A-readout,8,32,560,0.625,0,20260831,350,9.161
esn-mid (leak 0.3),B-drive,8,2,5,70.0,1,20260831,350,1.966
esn-mid (leak 0.3),B-drive,8,4,14,25.0,1,20260831,350,2.919
esn-mid (leak 0.3),B-drive,8,8,44,7.955,1,20260831,350,3.633
esn-mid (leak 0.3),B-drive,8,16,152,2.303,1,20260831,350,5.006
esn-mid (leak 0.3),B-drive,8,32,560,0.625,0,20260831,350,11.351
esn-slow (leak 0.1),A-readout,1,2,5,70.0,1,20260831,350,0.553
esn-slow (leak 0.1),A-readout,1,4,14,25.0,1,20260831,350,0.94
esn-slow (leak 0.1),A-readout,1,8,44,7.955,1,20260831,350,1.681
esn-slow (leak 0.1),A-readout,1,16,152,2.303,1,20260831,350,4.056
esn-slow (leak 0.1),A-readout,1,32,560,0.625,0,20260831,350,13.364
esn-slow (leak 0.1),B-drive,1,2,5,70.0,1,20260831,350,0.553
esn-slow (leak 0.1),B-drive,1,4,14,25.0,1,20260831,350,0.94
esn-slow (leak 0.1),B-drive,1,8,44,7.955,1,20260831,350,1.681
esn-slow (leak 0.1),B-drive,1,16,152,2.303,1,20260831,350,4.056
esn-slow (leak 0.1),B-drive,1,32,560,0.625,0,20260831,350,13.364
esn-slow (leak 0.1),A-readout,2,2,5,70.0,1,20260831,350,0.288
esn-slow (leak 0.1),A-readout,2,4,14,25.0,1,20260831,350,0.465
esn-slow (leak 0.1),A-readout,2,8,44,7.955,1,20260831,350,0.82
esn-slow (leak 0.1),A-readout,2,16,152,2.303,1,20260831,350,2.243
esn-slow (leak 0.1),A-readout,2,32,560,0.625,0,20260831,350,10.047
esn-slow (leak 0.1),B-drive,2,2,5,70.0,1,20260831,350,0.575
esn-slow (leak 0.1),B-drive,2,4,14,25.0,1,20260831,350,1.163
esn-slow (leak 0.1),B-drive,2,8,44,7.955,1,20260831,350,2.187
esn-slow (leak 0.1),B-drive,2,16,152,2.303,1,20260831,350,4.7
esn-slow (leak 0.1),B-drive,2,32,560,0.625,0,20260831,350,12.851
esn-slow (leak 0.1),A-readout,4,2,5,70.0,1,20260831,350,0.111
esn-slow (leak 0.1),A-readout,4,4,14,25.0,1,20260831,350,0.267
esn-slow (leak 0.1),A-readout,4,8,44,7.955,1,20260831,350,1.098
esn-slow (leak 0.1),A-readout,4,16,152,2.303,1,20260831,350,2.856
esn-slow (leak 0.1),A-readout,4,32,560,0.625,0,20260831,350,9.583
esn-slow (leak 0.1),B-drive,4,2,5,70.0,1,20260831,350,0.776
esn-slow (leak 0.1),B-drive,4,4,14,25.0,1,20260831,350,1.587
esn-slow (leak 0.1),B-drive,4,8,44,7.955,1,20260831,350,2.902
esn-slow (leak 0.1),B-drive,4,16,152,2.303,1,20260831,350,5.8
esn-slow (leak 0.1),B-drive,4,32,560,0.625,0,20260831,350,12.942
esn-slow (leak 0.1),A-readout,8,2,5,70.0,1,20260831,350,0.19
esn-slow (leak 0.1),A-readout,8,4,14,25.0,1,20260831,350,0.379
esn-slow (leak 0.1),A-readout,8,8,44,7.955,1,20260831,350,0.971
esn-slow (leak 0.1),A-readout,8,16,152,2.303,1,20260831,350,2.703
